"students","teachers","read","math"
21338,1051.57995605469,645,649.5
477,27,650.799987792969,643.799987792969
727,39.9000015258789,649.400024414062,645.799987792969
374,18.4500007629395,651.599975585938,643.599975585938
18255,903.760009765625,645,651
8787,410.910003662109,648,648.400024414062
797,38,648.799987792969,647.700012207031
140,7,651.599975585938,645.099975585938
235,13.6999998092651,643.400024414062,654
8294,371.100006103516,645.099975585938,652.799987792969
2409,108.660003662109,646,652.299987792969
150,8.25,655.200012207031,643.400024414062
3981,210,649.799987792969,649.200012207031
2326,117.800003051758,651.299987792969,648.099975585938
501,30.5,652.599975585938,647.099975585938
470,28.2700004577637,655.099975585938,645.799987792969
575,35.0999984741211,654.599975585938,646.5
3519,175.300003051758,655.400024414062,645.799987792969
474,26.3400001525879,653.599975585938,647.700012207031
223,11.5,651.799987792969,650
92,5.59999990463257,656.099975585938,645.700012207031
4971,297.140014648438,653.299987792969,649
2617,107.194999694824,651.700012207031,650.700012207031
242,13.25,654.400024414062,648.299987792969
780,41.1500015258789,662,640.799987792969
324,15.3999996185303,647,655.900024414062
140,6.75,654.200012207031,649.400024414062
181,10,651.900024414062,651.799987792969
516,26,656.299987792969,647.5
108,5,648.200012207031,655.799987792969
419,18.6700000762939,656.400024414062,647.799987792969
12567,546.049987792969,651.599975585938,652.599975585938
287,16.1700000762939,655.099975585938,649.5
6201,339.100006103516,650.900024414062,653.700012207031
577,29.9500007629395,657.200012207031,647.5
170,7.5,660.299987792969,644.5
164,8.5,655.200012207031,649.599975585938
382,22,653.099975585938,651.900024414062
1221,61.5999984741211,656.799987792969,648.900024414062
2214,108.349998474121,656.099975585938,650.099975585938
4523,215,653.700012207031,653.099975585938
793,39.7999992370605,652.400024414062,654.599975585938
1678,88.2699966430664,655.599975585938,651.5
536,22.5,653.400024414062,653.700012207031
307,15.8500003814697,654.099975585938,653.299987792969
347,17.5,655.5,652.099975585938
168,11.0100002288818,655.900024414062,651.799987792969
532,31,656.599975585938,651.299987792969
3272,150,651.400024414062,656.799987792969
2045,107.209999084473,657.799987792969,650.599975585938
156,6.05000019073486,659.799987792969,648.599975585938
1129,61.9900016784668,655.099975585938,653.5
3669,201.970001220703,652.700012207031,656.5
157,9.25,654.200012207031,655.5
4928,229.199996948242,653.5,656.200012207031
103,5,662.200012207031,647.599975585938
175,10.3000001907349,650,660.099975585938
4153,199.860000610352,657.400024414062,652.700012207031
280,18.0499992370605,660.400024414062,649.700012207031
865,43.5,660.799987792969,649.599975585938
8735,408.200012207031,655.400024414062,655.200012207031
412,20.1000003814697,653,657.700012207031
6373,329.119995117188,657.599975585938,653.099975585938
332,18.7999992370605,653.200012207031,657.599975585938
2903,138.119995117188,662,649.099975585938
565,29.6499996185303,651.599975585938,659.799987792969
586,26,662,649.599975585938
5068,240.100006103516,655.900024414062,655.799987792969
859,42.8400001525879,654.099975585938,658.700012207031
145,10.210000038147,657.799987792969,655.200012207031
649,35.125,658.700012207031,654.400024414062
1789,96,655.400024414062,657.900024414062
775,37,661.5,651.900024414062
777,36.8499984741211,663.400024414062,650.200012207031
3518,188.199996948242,656.700012207031,656.900024414062
19294,924.570007324219,657.599975585938,656.400024414062
7661,386.420013427734,657.299987792969,656.700012207031
158,8,661,653.299987792969
117,6,664.900024414062,649.900024414062
160,8.69999980926514,672.799987792969,642.200012207031
511,27.2000007629395,664.200012207031,650.900024414062
2770,140.110000610352,659.700012207031,655.599975585938
551,28.5,660.200012207031,655.299987792969
5205,242.5,655.099975585938,660.5
6437,278.839996337891,658.5,657.299987792969
1712,81.2799987792969,657,659
370,19.7999992370605,664,652.700012207031
3182,153.199996948242,654.700012207031,662.5
139,7.19999980926514,661.299987792969,656.299987792969
11855,588.840026855469,654.900024414062,663.200012207031
1068,51.6699981689453,662.099975585938,656.200012207031
2295,103,658.299987792969,660.400024414062
1510,73.3000030517578,662.799987792969,656
579,27.7999992370605,660,658.799987792969
1012,52.6399993896484,660.799987792969,658.799987792969
1212,68.6500015258789,660.400024414062,659.400024414062
119,7,661.700012207031,658.400024414062
590,35.7625007629395,673.099975585938,647.099975585938
546,27.6000003814697,659.799987792969,660.599975585938
248,11.1199998855591,667.799987792969,652.799987792969
461,26,666.900024414062,654.599975585938
6312,308.679992675781,662.099975585938,659.799987792969
285,13.9899997711182,661.099975585938,661.599975585938
2325,115.300003051758,662,660.900024414062
11885,549.840026855469,659.099975585938,664.099975585938
564,27.4300003051758,672.400024414062,650.799987792969
12380,620.380004882812,660.099975585938,663.599975585938
3772,178.059997558594,665.400024414062,658.299987792969
895,47.5800018310547,662.700012207031,661
5714,277.670013427734,664.299987792969,659.5
105,5.73000001907349,662.5,661.299987792969
1449,76.9899978637695,660.400024414062,663.5
510,24.5,663.099975585938,661.700012207031
160,8,651.400024414062,673.400024414062
433,22,665.400024414062,659.5
3186,164.309997558594,663.5,661.5
5010,239.399993896484,661.700012207031,663.400024414062
717,35.9500007629395,669.400024414062,655.700012207031
3548,170.649993896484,658.299987792969,667
868,45.2000007629395,662.400024414062,663
507,26.6499996185303,667.099975585938,658.400024414062
822,46.6500015258789,668.299987792969,657.5
1792,88.5500030517578,667.400024414062,659.299987792969
1202,62.2999992370605,664.299987792969,662.599975585938
515,27.3500003814697,660.200012207031,666.799987792969
1354,66.5699996948242,666.400024414062,661.299987792969
1252,65.1100006103516,659.400024414062,668.299987792969
823,46,657.700012207031,670.099975585938
2231,114.300003051758,666.200012207031,661.799987792969
271,14.1999998092651,668.700012207031,659.299987792969
309,15.5,671.299987792969,657
3005,159.220001220703,666.700012207031,661.599975585938
966,47.9599990844727,674,654.599975585938
7710,327.299987792969,663.400024414062,665.400024414062
762,35.5,663.099975585938,665.799987792969
1708,89,665.5,663.900024414062
9850,489.299987792969,663.700012207031,665.799987792969
129,5,667.599975585938,662.299987792969
10619,565.510009765625,665.900024414062,664
4521,236.580001831055,666.799987792969,663.400024414062
580,29.4400005340576,656.200012207031,674.200012207031
2569,138,669.799987792969,660.900024414062
6022,286.799987792969,663.900024414062,667.400024414062
670,33.5,670.299987792969,661.5
14708,700.940002441406,664.5,667.400024414062
6601,305,668,664
675,33.7000007629395,668.700012207031,663.400024414062
2458,124.069999694824,666.900024414062,665.299987792969
144,8,671.900024414062,660.400024414062
573,29.6000003814697,671,661.299987792969
721,35.7299995422363,668.799987792969,664.099975585938
992,46.9700012207031,671.200012207031,661.900024414062
8432,360.5,663.700012207031,669.5
244,11,672.099975585938,661.200012207031
7116,356.820007324219,667.5,665.799987792969
830,46.6599998474121,662.099975585938,671.299987792969
160,10.8800001144409,666.900024414062,666.799987792969
1588,83.4000015258789,671.299987792969,662.400024414062
2272,108.75,667.700012207031,666.599975585938
1425,71.8300018310547,669.799987792969,664.599975585938
245,12.5500001907349,672.200012207031,662.700012207031
1349,65.2125015258789,667,667.900024414062
400,22,669.200012207031,666
4632,245.179992675781,669.400024414062,666.599975585938
224,9,660.5,675.700012207031
576,31,665.799987792969,671
451,25,672.700012207031,664.5
900,50.75,668.799987792969,668.5
118,5.5,668.5,669.099975585938
1457,73.129997253418,666.200012207031,671.599975585938
4734,232.75,665.5,672.400024414062
3303,146.5,666.099975585938,672.099975585938
6055,286.920013427734,668.900024414062,669.700012207031
424,23.2999992370605,680.900024414062,657.700012207031
2801,139.300003051758,673.299987792969,665.400024414062
187,9.76000022888184,664.599975585938,674.099975585938
129,6.59999990463257,670.099975585938,669.5
188,9,673.200012207031,666.5
1212,65.9000015258789,669.200012207031,670.700012207031
2596,135.350006103516,669.200012207031,670.799987792969
4925,253.89599609375,672.799987792969,668.599975585938
6257,288.630004882812,671.200012207031,671.299987792969
868,45,674.599975585938,668
3787,186.100006103516,674.900024414062,668.299987792969
6423,306.380004882812,671.400024414062,671.799987792969
678,34.8400001525879,677.599975585938,665.700012207031
162,8.39999961853027,679.799987792969,663.599975585938
8529,407.700012207031,668.900024414062,674.599975585938
1862,89.0899963378906,673.099975585938,670.700012207031
1452,70.5,679.599975585938,664.200012207031
155,8,672.299987792969,671.599975585938
2536,127.110000610352,676.099975585938,668
567,30.0799999237061,673.900024414062,670.200012207031
953,52.5999984741211,668.099975585938,676.5
296,15.4300003051758,674.599975585938,670.099975585938
198,9,672.700012207031,672.200012207031
218,10.1000003814697,669.400024414062,675.700012207031
734,36,676.099975585938,669.299987792969
189,11.6000003814697,679.099975585938,667
2528,138.309997558594,675,671.5
2987,154.169998168945,676.099975585938,670.5
208,11,680.5,666.599975585938
379,23.1000003814697,670.5,676.599975585938
145,9.30000019073486,670.5,677.299987792969
706,37.7400016784668,676,672.5
878,47.9000015258789,681,669.799987792969
594,33.1800003051758,683,668.400024414062
139,7.34999990463257,680.099975585938,672.200012207031
2089,102.779998779297,673.799987792969,679.299987792969
326,16.2800006866455,673.299987792969,679.900024414062
516,21.5,680.5,673.200012207031
449,25.5,672.799987792969,681.099975585938
297,15.3500003814697,679,675.5
1579,80.2399978637695,678.5,677.400024414062
383,20.4500007629395,682.900024414062,673.200012207031
81,5.09999990463257,685.299987792969,671.5
5259,262.230010986328,679,678.599975585938
1960,108.959999084473,684.099975585938,674.700012207031
151,8.89999961853027,676.799987792969,682.200012207031
946,49.1699981689453,683.099975585938,676.200012207031
2707,141.020004272461,678.700012207031,680.799987792969
919,46.8899993896484,680.200012207031,679.400024414062
945,46,685.700012207031,674.400024414062
738,39.7019996643066,684.200012207031,676.700012207031
164,10.5100002288818,682.799987792969,679.799987792969
167,10.9200000762939,680.799987792969,681.799987792969
125,7.07999992370605,688.5,674.700012207031
1091,62.060001373291,689.799987792969,674
134,6,681.799987792969,682.5
600,32,680,684.900024414062
1803,99.5999984741211,685.599975585938,679.5
158,7.80000019073486,687.299987792969,678
2392,127.220001220703,682.400024414062,684.299987792969
526,28.0200004577637,684.5,682.299987792969
141,6.90999984741211,680.400024414062,688.200012207031
235,12.6000003814697,688.5,680.200012207031
3280,158.399993896484,682.200012207031,687.400024414062
1254,57,686.200012207031,683.700012207031
948,53.560001373291,692.200012207031,679.900024414062
15228,708.830017089844,683.099975585938,690.299987792969
81,4.84999990463257,693.799987792969,681.299987792969
2768,141.399993896484,691.599975585938,686.599975585938
535,31,693.5,688.599975585938
2542,146.300003051758,687.700012207031,695
1940,111.819999694824,693.700012207031,690.099975585938
1059,65.120002746582,695.900024414062,692
2340,132.199996948242,693.599975585938,694.900024414062
3469,172.339996337891,697.900024414062,691.700012207031
2106,115.300003051758,695.099975585938,695.299987792969
478,32.8699989318848,701.299987792969,689.299987792969
1885,98.4199981689453,697.400024414062,695.700012207031
2422,139.470001220703,699.099975585938,697.299987792969
1318,87.0599975585938,695.400024414062,701.099975585938
220,12.3299999237061,693.299987792969,703.599975585938
687,44.5900001525879,698.299987792969,699.900024414062
2341,124.089996337891,698.900024414062,701.700012207031
984,59.7299995422363,700.900024414062,707.700012207031
3724,208.479995727539,704,709.5
441,20.1499996185303,648.299987792969,641.700012207031
101,5,667.900024414062,676.5
1778,93.4000015258789,660.5,651
