"ahe","age","female","bachelor"
22.11539,30,0,0
22.11539,28,0,1
25.27472,31,0,1
19.23077,32,1,0
20.60439,26,1,0
26.92308,27,0,1
7.692307,34,0,0
36.05769,34,0,1
9.5,33,0,0
27.77778,29,1,0
21.55172,25,0,1
4.375,32,1,0
14.28571,32,0,1
10.25641,27,1,1
14.42308,26,0,1
21.63461,30,0,1
10.98901,30,0,1
9.134615,26,1,1
14.42308,30,1,1
14.01126,28,0,1
11.53846,34,0,0
18.31502,33,0,0
36.05769,31,1,1
12.98077,29,0,0
5.769231,26,0,0
17.96559,28,0,0
8.977404,33,1,1
8.653846,29,0,0
13.84615,34,1,0
18.75,34,0,0
21.875,28,0,1
19.23077,34,0,0
10.57692,33,1,0
18.46154,31,0,1
12.01923,34,0,0
9.622115,32,1,1
5.5,32,0,0
28.79808,26,0,1
12.5,29,1,0
14.19414,30,1,1
2.5,32,1,0
12.5,31,0,0
21.63461,30,1,1
10.09615,34,1,0
6.730769,30,1,0
12.82051,32,0,0
14.42308,34,1,1
10.09615,28,1,0
27.77778,27,0,1
12.01923,29,1,0
18.7247,25,1,1
14.42308,25,0,0
19.23077,27,0,1
8.241758,26,1,1
14.42308,34,0,0
20.67308,34,0,1
38.46154,34,0,1
9.615385,29,0,0
8.173077,28,0,1
16.10577,34,1,0
14.85043,27,0,0
43.58974,32,0,1
27.47253,27,0,1
11.09615,33,1,0
21.63461,32,0,1
16.34615,31,0,0
28.84615,28,1,0
22.01923,33,0,1
10.57692,27,0,0
43.26923,27,1,0
28.84615,29,0,1
16.15385,33,0,0
30.28846,29,1,1
15.625,33,0,1
39.21569,34,1,1
20.19231,34,1,0
10.4515,27,0,0
29.91453,28,0,1
30.44872,34,0,0
15.38461,33,0,0
21.63461,30,0,0
17.11539,33,0,0
15.38461,30,1,0
11.1336,25,1,0
7.692307,34,0,0
22.11539,33,1,1
29.91453,29,0,1
13.98601,32,0,1
2.884615,25,0,1
25.5102,31,0,0
12.98077,28,1,1
15.6125,28,0,1
19.23077,27,1,1
17.78846,26,1,1
20.19231,27,0,1
12.82051,33,0,0
14.90385,34,1,0
22.4359,27,1,1
30.76923,33,0,1
45.52885,33,0,1
25.48077,32,1,1
30,27,0,1
28.46154,28,1,1
8.333333,27,1,0
21.5081,33,0,1
10.09615,33,1,1
12.01923,26,1,0
12.98077,31,0,1
14.42308,28,1,1
11.05769,31,1,1
12.82051,34,1,1
14.95726,34,1,1
20.94017,33,0,1
13.46154,31,1,1
15,26,0,0
40.38462,31,0,1
12.98077,25,1,1
33.65385,33,0,1
19.23077,30,1,1
9.615385,28,1,0
14.13461,28,0,0
9.615385,33,0,0
19.23077,32,0,1
13.84615,32,0,0
11.05769,31,1,1
15.52885,32,0,0
12.30769,31,0,0
11.57518,34,1,0
20.19231,34,0,1
16.17647,33,1,1
17.21154,28,1,1
18.26923,31,1,0
16.82692,25,0,0
11.53846,29,1,1
7.692307,28,0,0
31.25,30,0,0
26.30385,34,1,1
13.09524,28,1,0
25.64103,28,0,1
22.30769,30,1,1
10.09615,33,1,0
15.38461,27,0,0
19.66783,30,1,1
12.01923,26,1,1
21.79487,25,0,1
17.5,32,1,1
15.38461,32,0,1
29.32692,32,1,1
17.78846,32,0,1
40.30612,33,0,1
21.15385,28,1,1
12.82051,31,0,1
25,30,1,1
28,30,1,1
32.69231,29,1,1
7.6,34,1,0
14.0056,30,0,0
25,31,0,1
14.42308,27,0,1
9.134615,28,0,0
10.98901,30,0,0
14.95726,29,0,1
12.01923,27,1,0
27.88461,29,0,1
11.53846,33,0,0
31.25,32,0,1
2.136752,30,0,0
19.23077,33,1,1
14.42308,28,1,1
14.42308,31,0,1
17.0774,29,1,1
22.11539,30,0,1
17.94872,30,0,1
19.23077,28,1,1
13.66397,25,1,1
19.65812,34,1,1
15.38461,27,1,1
7.478632,33,1,1
20.08547,27,0,1
10,26,1,0
13.26923,26,0,1
11.05769,30,0,0
39.26282,30,0,1
28.84615,32,0,1
14.42308,29,0,0
15.86539,33,1,0
10.57692,25,1,0
10.76923,33,1,1
16.82692,29,1,0
33.65385,34,1,1
17.03297,26,1,1
9.615385,32,1,1
13.46154,31,1,0
17.30769,32,0,0
27.40385,34,1,1
11.09467,32,1,0
18.26923,33,0,0
17.78846,31,0,1
19.23077,30,0,0
16.20192,29,1,1
19.23077,27,0,1
18.26923,26,1,1
19.23077,34,0,1
15,31,0,0
24.61539,28,0,1
27.47253,34,0,0
16.62393,27,1,1
46.15385,33,1,1
19.23077,31,0,0
17.78846,31,1,0
13.94231,26,1,1
10.25641,26,1,1
7.961538,33,0,0
6.976744,30,0,0
4.807693,28,0,0
12.5,29,0,0
6.25,30,1,0
12.98077,30,1,0
10.33654,27,0,1
31.25,27,1,1
13.24786,25,1,1
10,25,0,1
10.98889,25,0,0
29.40171,30,0,1
17.94872,26,1,1
17.06731,31,0,0
21.97802,31,1,0
33.65385,32,0,1
7.692307,25,1,1
14.51379,32,0,1
19.23077,26,1,1
7.692307,34,0,0
25,30,0,1
35.57692,28,0,1
16.82692,25,1,1
12.98077,25,0,0
16.82692,25,0,0
17.09402,25,0,0
12.5,31,1,1
19.95192,30,0,1
16.82692,31,1,0
15.86539,32,0,0
15.86539,27,1,0
13.02083,29,0,0
23.39744,28,0,0
15,26,0,1
6.875,29,0,0
9.615385,28,0,0
8.653846,30,0,0
9.615385,28,0,0
21.36539,28,1,1
9.951923,29,0,1
6.25,28,1,0
17.15686,27,0,0
40.38462,31,0,1
12.01923,29,0,0
30.34188,27,0,1
16.34615,26,1,1
15.86539,27,0,1
19.23077,33,1,1
17.32,30,0,1
11.53846,32,0,1
10.47404,30,1,1
20.67308,33,0,1
11.21795,32,0,1
16.34615,25,1,1
18.26923,25,0,1
19.23077,33,0,0
28.67133,29,1,1
17.71255,28,0,1
19.23077,31,0,0
22.29279,25,1,1
12.01923,28,0,0
48.07692,34,1,1
25.48077,33,1,1
8.653846,33,1,0
12.01923,32,1,0
7.211538,31,1,0
24.2674,30,0,1
12.82051,26,1,1
5.060729,28,0,0
11.96581,27,0,0
20.76923,26,1,1
30.76923,28,1,1
26.44231,32,0,0
17.48252,27,0,0
6.293706,25,1,1
18.16239,27,0,1
3.891941,29,0,0
31.25,25,0,0
21.15385,29,1,1
17.78846,34,1,0
21.63461,25,0,1
16.66667,34,1,0
12.5,27,1,0
6.25,26,1,0
12.01923,33,0,0
33.09487,34,0,1
12.01923,33,1,1
12.5,26,0,0
11.53846,31,1,0
24.03846,32,0,0
6.615385,34,0,1
22.4359,26,0,1
5.865385,25,1,1
18.70192,26,1,1
17.30769,27,0,1
17.48252,27,1,1
12.01923,33,0,0
12.01923,33,1,0
17.30769,26,0,0
10.81731,25,0,0
8.653846,33,0,0
12.01923,27,1,0
21.63461,27,0,1
10.98901,30,0,0
14.42308,26,1,1
8.974359,30,0,1
16.82692,29,0,0
4.807693,33,1,0
9.058704,25,1,0
21.63461,31,0,1
7.932693,29,1,0
6.730769,32,1,0
20.75961,30,0,1
21.36752,27,0,1
15,31,0,0
4.901961,31,1,0
7.211538,31,0,0
36.53846,26,0,1
24.17583,26,1,1
12.01923,32,1,1
11.43899,33,0,1
11.53846,31,0,0
6.25,27,1,0
8.136095,30,0,0
9.615385,30,0,0
6.923077,31,1,0
2.403846,33,0,0
10.43956,32,0,0
21.36752,28,0,0
13.46154,29,0,0
60.09615,31,0,1
18.26923,32,1,1
9.134615,30,0,0
60.09615,31,0,0
4.134615,34,1,0
9,31,1,0
16.82692,31,0,0
16.82692,28,1,1
9.142858,33,0,0
18.13725,28,0,1
23.03922,25,1,1
10.17692,32,1,1
10.92657,32,0,1
15.86539,25,1,0
7.932693,33,1,0
12.01923,34,0,0
15.57692,26,0,1
22.35577,25,1,1
13.07692,28,1,1
8.764792,33,0,0
48.07692,34,0,1
18.75,29,1,1
20.94017,27,0,0
28.84615,33,0,1
6.923077,27,1,0
26.92308,26,0,1
21.22836,32,0,0
11.53846,29,0,1
21.12981,29,0,1
13.46154,27,0,0
10.175,32,1,0
16.82692,25,0,0
6.25,25,1,0
10.57692,27,0,1
17.30769,25,1,1
18.26923,25,1,0
34.18803,28,0,1
18.37607,31,0,1
10.41667,33,0,0
27.40385,29,0,1
33.65385,31,0,1
8.603239,29,1,1
7.8125,26,0,1
12.01923,25,1,1
12.01923,28,0,0
26.92308,28,0,1
33.65385,32,0,0
19.71154,25,0,1
15.38461,29,0,1
14.90385,29,1,1
4.615385,27,1,0
5.325444,33,0,0
8.241758,34,0,0
6.043956,32,1,0
15.38461,28,0,0
12.35363,33,0,1
10.9274,34,1,1
10.25,29,1,0
25.48077,34,0,0
9.086538,28,1,1
29.16667,34,0,1
14.42308,33,1,1
12.01923,27,0,0
16.94139,25,0,1
18.75,26,1,1
26.55678,29,1,1
17.93269,32,0,0
12.11539,25,0,0
48.07692,29,0,1
48.07692,33,1,1
13.25,31,0,0
20.19231,29,1,1
12.96959,29,0,0
25,25,1,1
18.84615,25,0,1
31.25,26,0,0
14.42308,27,1,1
25.11111,27,0,1
18.37607,32,0,0
28.84615,32,0,1
10,29,0,0
13.66397,33,1,1
14.42308,32,0,0
27.47253,32,0,1
18.46154,34,0,0
13.24786,27,1,1
20.51282,27,1,1
10.05917,30,0,1
12.82051,29,1,1
15.14423,27,0,0
12.5,27,1,1
14.71154,27,1,1
19.23077,26,0,0
14.42308,33,1,1
20.19231,30,0,1
8.653846,33,1,0
5.494505,32,0,0
11.53846,25,1,0
16.15385,32,1,1
9.230769,26,1,0
7.211538,32,1,1
8.192788,29,0,0
17.88909,34,1,1
26.49573,27,0,1
19.23077,26,1,1
11.85598,28,0,0
14.04135,29,0,0
21.04957,29,1,1
9.005769,25,1,0
10.25641,29,0,0
19.23077,31,0,1
19.42857,30,1,1
16.82692,34,1,1
36.05769,27,1,1
31.25,34,0,0
48.07692,32,0,0
10.57692,32,1,0
15.97633,29,0,0
4.263736,27,1,0
10.03846,29,0,0
9.615385,25,0,1
16.82692,26,1,0
3.365385,28,0,0
19.23077,26,0,1
7.692307,34,0,0
16.34615,29,1,0
19.23077,33,0,1
15.38461,26,1,0
23.66864,25,0,1
11.73077,29,0,1
21.63461,31,1,0
13.94231,26,1,1
8.854167,27,0,0
9.615385,30,0,0
6.458333,32,1,0
5.604395,33,0,0
23.07692,33,1,0
13.46154,33,1,1
20.67308,28,0,1
9.615385,28,0,0
7.5,26,1,0
20.67308,30,0,0
9.615385,27,0,0
5.769231,26,0,0
14.42308,27,0,0
11.53846,29,0,1
16.14583,34,0,0
14.42308,26,0,0
16.82692,29,0,0
14.42308,26,1,1
30.09259,28,1,1
15.86539,25,0,0
15.27154,30,0,0
5.769231,32,0,0
15.38461,31,0,0
18.37607,31,0,1
17.1875,29,0,0
6.833333,34,0,0
19.23077,32,0,1
28.84615,29,1,1
13.94231,25,1,1
15.76923,31,0,0
12,33,0,0
10.57692,26,0,1
20.12522,34,0,0
9.615385,25,1,1
12.23776,25,0,0
12.5,29,1,0
10.76923,28,0,0
16.15385,32,0,1
12.74039,28,1,1
14,32,0,0
5.448718,25,0,0
11.53846,25,0,0
8.173077,34,0,0
13.46154,32,0,0
9.615385,30,0,0
9.558824,29,1,1
24.03846,27,0,1
10.98901,28,1,1
29.34711,33,0,1
10.57692,31,1,0
8.5,27,1,0
12.5,27,0,1
19.23077,25,1,0
13.46154,33,0,0
10.25641,28,0,0
7.211538,27,1,0
5.288462,32,1,0
6.730769,30,0,0
16.82692,26,0,1
12.74039,25,0,1
12.01923,30,1,0
10.98901,30,0,0
14.90385,29,1,0
12.01923,25,1,0
50.48077,34,1,0
21.15385,33,0,0
20.19231,25,0,1
13.94231,29,1,0
10.37449,31,1,1
12.01923,27,1,0
26.28205,27,0,0
21.63461,27,1,1
26.49573,32,0,1
21.15385,32,0,0
20.32967,33,0,1
9.615385,29,0,0
27.77778,28,0,1
21.63461,34,1,0
7.692307,29,0,0
9.985208,34,1,0
19.23077,33,0,0
12.5,27,0,0
9,31,0,0
14.42308,26,1,1
11.92265,27,1,1
19.23077,25,0,0
27.47253,33,0,0
23.50427,27,1,1
14.42308,34,0,1
36.05769,31,1,1
16.34615,32,0,0
14.42308,33,0,0
21.15385,31,0,1
14.42308,27,1,0
11.88811,34,0,1
24.17583,31,1,1
22.72727,33,1,1
4.807693,33,1,0
20.19231,28,0,1
7.211538,34,0,0
4.326923,31,0,0
25,33,0,0
19.23077,28,0,0
8.173077,25,0,0
36.05769,33,0,1
6.25,26,1,0
6.557693,30,0,0
15.38461,33,0,0
15.90237,33,0,0
27.47253,28,0,0
16.34615,33,0,0
13.75,27,0,0
9.615385,28,0,0
18.26923,33,0,0
18.42949,27,0,0
20.99519,34,0,0
15.38461,28,0,1
9.505494,31,1,0
8.75,34,1,0
14.42308,30,1,1
19.23077,25,0,0
18.75,27,1,1
19.23077,34,1,1
13.07211,25,0,0
15.73427,29,0,0
11,27,0,1
40.38462,26,0,1
14.42308,33,1,1
10.67308,34,1,0
8.190884,30,0,1
18.26923,34,1,1
11.53846,33,0,0
14.42308,26,0,0
14.82372,32,0,0
11.42857,25,0,0
4.327885,28,1,0
28.07692,31,0,1
14.42308,25,0,1
18.80342,27,0,1
9.615385,27,0,0
8.653846,29,0,0
10,31,0,0
18.58974,34,0,0
12.5,32,0,0
16.82692,26,0,0
7.612179,26,1,0
14.02244,25,0,0
5.769231,27,1,0
47.00855,34,0,1
11.09467,34,0,0
10.98901,30,1,0
15,28,0,0
22.52747,34,1,0
15.38461,27,0,1
33.65385,27,1,1
18,29,0,1
13.46154,31,0,0
20.67308,33,1,1
23.39744,34,0,1
30,34,0,1
22.67628,32,1,1
18.26923,27,1,0
20,30,0,1
22.59615,28,0,1
23.79808,32,0,1
21.15385,28,1,1
43.26923,30,0,1
19.23077,30,1,1
14.88461,25,1,1
5.3145,25,1,1
15.86539,32,1,0
42.73504,28,0,0
13.84615,32,0,1
14.95726,30,1,0
6.993357,26,0,0
28.84615,32,1,0
15.38461,30,0,0
19.23077,25,1,1
15,33,1,1
18.75,32,0,1
10.09615,33,1,0
14.42308,29,0,1
4.807693,27,0,0
18.5375,33,1,0
15.38461,34,1,0
28.84615,32,0,0
12.01923,27,0,0
28.84615,31,0,1
27.40385,31,1,1
7,32,0,0
16.34615,27,1,0
8.173077,33,1,0
17.45192,28,1,1
5.769231,28,1,1
17.30769,28,0,1
19.23077,26,1,1
15.38461,31,1,0
11.79487,27,0,1
9.615385,27,1,0
4.125,34,0,1
44.07051,28,1,1
20.88461,34,0,0
12.01923,28,0,0
25,27,1,0
7.39645,26,0,0
14.42308,34,1,1
25.32051,29,0,1
10.38461,28,1,1
13.94231,33,1,0
31.25,33,1,1
26.44231,32,0,1
17.09402,27,0,1
22.11539,26,1,1
19.23077,27,1,1
14.42308,34,0,1
6.009615,29,1,0
9.134615,29,0,0
21.63461,25,0,0
25.08361,34,0,1
12.98077,27,0,1
15.01832,25,1,1
19.23077,32,0,1
20,33,1,1
45.67308,29,1,1
10.4544,34,0,0
9.765625,26,0,0
25.96154,34,1,1
15.38461,34,1,1
20.51282,32,1,1
21.42857,32,0,0
15.38461,27,0,0
40.86538,34,0,1
21.97802,29,1,1
19.23077,32,0,0
19.23077,32,1,1
16.26603,33,1,1
40.20979,33,0,1
45.52067,31,1,1
21.85315,34,0,1
12.01923,30,0,0
10.57692,26,1,0
13.46154,30,1,1
19.23077,34,0,1
26.44231,30,0,1
33.65385,28,0,0
33.65385,27,0,1
19.23077,33,0,1
9.615385,30,1,0
11.05769,27,0,1
19.23077,28,0,0
18.49113,25,0,1
26.44231,28,1,1
28.84615,31,0,1
14.42308,30,0,1
31.25,30,0,1
31.73077,32,1,1
10.91476,26,1,0
31.25,30,1,1
21.97802,28,1,1
28.57143,29,0,1
21.63461,30,0,0
22.59615,26,0,1
31.25,30,0,1
17.15686,33,0,0
15.38461,28,0,0
11.05769,29,0,0
12.98077,29,0,1
11.53846,27,1,1
14.42308,31,0,0
8.173077,30,0,1
12.01923,27,0,0
9.615385,26,1,0
16.325,32,0,0
15.30612,25,1,0
12.5,32,1,0
5.096154,27,0,1
9.615385,26,0,0
33.65385,31,1,1
14.90385,29,0,0
7.692307,27,0,0
17.52137,32,0,1
22.11539,29,1,0
16.5,34,0,0
13.73626,25,1,1
24.78633,25,0,1
9.615385,26,0,0
10.41667,27,1,0
17.30769,34,0,1
19.23077,33,1,1
46.15385,32,0,1
6.730769,33,1,0
5.060729,32,0,0
13.125,30,1,1
10.4515,25,1,1
11.97308,25,1,1
23.07692,34,0,0
21.36752,34,0,0
14.42308,31,1,0
11.63461,25,0,1
16.34615,25,1,1
23.07692,32,0,1
11.05769,30,0,1
38.46154,28,0,1
12.39316,25,1,1
26.92308,29,0,1
17.30769,30,1,1
19.95192,32,1,1
12.22222,26,1,0
19.23077,33,1,1
8.076923,34,1,0
6.75,30,1,0
31.73077,31,1,1
11.53846,28,0,0
16.82692,34,0,1
31.46853,34,1,1
13.46154,29,1,0
30.98291,32,1,1
31.62393,26,0,1
7.5,29,1,0
11.73077,28,1,1
10.57692,25,1,0
24.03846,32,0,1
16.70041,30,1,1
11.27451,30,0,0
19.23077,34,1,1
21.36752,31,1,1
21.97802,30,0,0
10.76923,29,0,1
20.19231,32,1,0
15.38461,30,0,0
10.12146,28,1,0
29.48718,33,1,1
4.357298,26,0,0
7.932693,26,1,0
6.25,25,0,0
21.15385,34,1,1
14.42308,27,0,1
32.05128,30,0,1
25,31,0,1
12.69231,27,1,1
12.11539,27,0,1
19.23077,34,0,0
22.69231,25,0,1
11.05769,30,0,0
26.44231,30,0,0
12.5,25,0,0
24.03846,28,0,0
7.488095,27,1,1
12.15278,28,1,1
16.34615,29,1,1
25.96154,34,0,1
13.8664,27,1,1
11.05769,33,0,0
15.46823,27,0,0
7.5,26,0,0
13.24786,30,0,0
13.46154,26,0,0
13.46154,26,0,1
14.95726,27,0,1
20.19231,29,0,0
17.1875,26,1,1
13.5,34,1,0
14.90385,32,1,0
19.23077,32,1,1
17.11539,32,0,1
19.71154,25,0,0
23.07692,27,1,1
19.23077,31,0,1
10.57692,30,0,0
23.07692,30,0,1
12.5,33,0,0
48.07692,34,0,1
20.51282,29,0,1
8.333333,25,0,0
11.88811,25,1,1
9.615385,31,0,0
6.25,27,1,0
26.92308,33,1,1
12.98077,32,1,1
24.03846,34,0,0
23.07692,32,0,1
13.84615,33,0,1
12.01923,29,0,0
12.01923,27,1,0
28.84615,34,1,1
19.23077,28,1,1
23.07692,27,0,1
17.52137,29,0,1
12.44344,33,0,0
17.78846,25,0,1
23.07692,29,0,1
14.18269,33,0,0
19.71154,27,1,1
34.18803,32,1,1
26.15385,31,0,0
8,27,1,0
5.34188,30,1,1
52.40385,32,0,1
17.19567,29,0,0
30.76923,30,0,1
31.19658,31,0,1
26.47059,27,0,0
11.32933,32,0,0
21.63461,25,1,1
16.82692,29,0,0
38.46154,31,0,1
17.30769,32,0,0
18.99039,32,1,1
26.92308,33,0,0
4.807693,25,1,0
15.38461,32,0,1
23.03419,32,0,1
4.615385,31,1,1
10.57692,28,0,0
15.38461,33,0,0
22.95192,30,1,1
41.13248,25,1,1
15,30,0,0
9.992308,31,0,0
22.35577,28,1,1
10.38461,26,1,1
9.134615,27,0,0
4.807693,25,0,0
13.46154,29,0,0
16.34615,28,0,0
26.44231,30,1,1
4.038462,34,1,0
19.23077,27,1,1
8.653846,31,0,0
22.59615,31,0,0
28.17531,27,0,0
11.53846,27,0,1
20.5,34,1,1
23.07692,31,1,1
12.28632,33,0,1
16.23932,30,0,1
14.90385,31,0,1
10.57692,33,1,1
13.23529,28,0,0
23.07692,27,0,1
20,27,1,1
8.333333,27,1,0
7.692307,27,0,0
21.63461,33,0,1
9.615385,33,0,0
11.3,25,1,1
30.28846,31,0,0
12.01923,26,0,0
15.38461,28,0,0
22.22222,31,1,1
28.84615,30,0,1
16.82692,30,1,1
23.50427,29,0,1
9.615385,28,0,0
12.82051,33,1,0
20,33,0,1
16.65103,29,0,0
25.24039,33,0,1
10,25,1,1
12.5,26,0,0
12.58741,27,0,0
25.24039,28,0,1
14.71154,26,0,0
18.69658,32,1,1
36.05769,33,0,1
14.42308,26,0,0
11.34615,25,1,1
15.86539,32,0,1
17.39927,34,1,1
16.43357,30,0,1
15.42857,25,1,1
17.30769,32,1,0
14.61539,31,0,0
5.604395,33,1,0
8.493589,28,0,0
21.75,30,1,1
25,31,0,1
23.31002,31,0,0
10.57692,34,1,0
11.29808,33,0,0
18.99039,32,0,1
15.86539,25,0,1
18.31502,34,0,0
14.13461,28,1,1
13.99417,32,1,1
7.211538,25,0,0
18.26923,31,0,1
4.807693,31,1,0
14.85577,27,0,1
14.62551,32,0,0
7.692307,33,1,0
9.615385,32,1,1
16.82692,29,0,1
23.07692,27,1,1
16.34615,25,1,1
4.807693,25,1,1
21.53846,26,0,1
16.82692,27,0,0
12.65182,33,1,0
5.769231,34,1,0
11.41827,34,0,0
12.30769,32,1,0
30.76923,33,0,0
5.30504,28,1,0
10.09615,34,1,0
20.19231,27,0,0
5.363866,27,0,1
4.048583,27,1,1
13.65096,29,0,0
7.692307,28,1,0
22.11539,33,1,1
25.21367,26,0,1
7.211538,26,0,0
14.42308,30,1,0
25,30,0,0
12.5,33,1,0
19.23077,27,1,1
14.42308,25,0,1
26.44231,27,0,1
31.25,28,0,1
40.86538,29,1,1
6.923077,27,0,0
20.19231,32,0,0
24.03846,30,1,0
11.05769,33,1,0
9.5,32,1,0
8.421154,34,1,0
13.84615,31,0,1
21.63461,32,0,1
10.68376,32,1,1
12.5,27,1,1
11.05769,34,0,0
5.769231,33,0,0
13.26923,31,1,0
14.42308,30,1,0
16.34615,27,0,1
14.42308,34,0,1
19.23077,25,0,1
10.12146,30,1,0
19.23077,25,1,1
16.82692,28,0,0
13.46154,28,1,1
12.5,27,1,0
9.391771,29,0,1
6.923077,29,1,0
21.63461,34,1,0
20.38461,30,0,1
28.36539,28,0,1
23.50427,28,1,1
15.86539,34,1,0
14.01099,34,0,0
23.69506,33,0,1
18.81271,29,0,1
11.53846,32,1,1
12.01923,33,1,0
9.340659,33,1,0
5.555555,32,0,1
35.04274,31,1,0
16.02564,33,0,1
10.57692,34,1,0
21.29663,34,1,1
9.461538,31,1,1
31.25,26,0,0
25,31,0,1
15.73427,33,1,1
22.22222,29,1,1
20.19231,30,0,0
19.23077,32,0,1
15.48077,33,1,1
17.17033,34,0,1
17.09402,34,0,1
10.94675,31,0,0
9.615385,30,1,1
9.294871,26,0,1
12.36264,33,0,1
10.57692,34,0,0
6.25,31,1,0
12.01923,26,0,0
12,28,0,0
6.593407,31,0,0
14.42308,30,0,0
38.46154,32,0,1
38.46154,34,0,0
11.45833,30,1,1
9.615385,34,1,0
24.03846,33,0,1
33.76068,32,1,1
12.82051,27,1,1
10.62753,30,1,1
9.615385,25,0,1
15.38461,28,1,1
19.23077,33,1,1
9.615385,34,0,0
8.284023,30,0,1
21.63461,33,0,0
10.81731,30,0,0
9.134615,28,0,0
9.615385,28,0,1
9.6,32,0,0
5.060729,27,0,0
12.01923,30,1,0
13.46154,25,0,1
21.15385,34,0,0
10.57692,30,0,0
10.12821,34,0,0
37.5,31,0,0
28.84615,33,0,1
24,32,0,1
13.73626,26,0,1
17.30769,33,1,1
12.58741,29,0,1
21.36752,29,0,0
32.21154,32,1,1
21.63461,26,1,1
11.25,27,0,1
18.02885,29,0,0
21.15385,27,0,1
13.46154,32,1,1
10.68376,30,0,1
12.01923,26,0,0
13.84615,27,0,0
12.18,31,0,1
15.16346,25,0,0
43.26923,34,0,1
17.30769,27,0,1
34.18803,32,0,1
23.50427,27,1,1
11.05769,34,1,1
35.04274,27,0,1
38.03419,31,0,1
13.46154,26,0,1
15.38461,25,0,0
7.211538,28,1,0
22.59615,34,0,1
38.46154,34,0,1
19.23077,25,0,1
8.75,33,1,0
26.44231,25,0,1
13.46154,34,0,0
11.53846,32,1,1
40.86538,30,0,1
8.835759,32,1,0
25.5102,29,0,0
22.59615,30,0,0
10.57692,26,0,1
3.846154,30,1,0
10.64103,33,0,1
6.25,32,0,0
12.23776,30,0,1
9.895833,32,0,0
16.82692,27,1,1
29.91453,27,1,1
23.66864,27,0,1
26.22378,33,0,0
26.44231,34,1,0
10.57692,28,1,1
12.98077,30,0,0
22.15,28,0,0
26.92308,27,0,0
