"deny","pirat","black"
"no",0.384000015258789,"no"
"no",0.382000007629395,"yes"
"no",0.37,"no"
"no",0.325,"no"
"no",0.397999992370605,"no"
"no",0.395,"no"
"no",0.407000007629395,"no"
"no",0.301000003814697,"no"
"no",0.365,"no"
"no",0.266000003814697,"no"
"no",0.267999992370605,"no"
"no",0.268999996185303,"no"
"no",0.409000015258789,"yes"
"no",0.307999992370605,"no"
"no",0.311000003814697,"no"
"no",0.36,"yes"
"no",0.39,"no"
"no",0.32,"no"
"no",0.18,"no"
"no",0.34,"no"
"no",0.327999992370605,"yes"
"yes",0.383800010681152,"yes"
"no",0.337999992370605,"yes"
"no",0.281000003814697,"no"
"yes",0.392299995422363,"yes"
"no",0.362999992370605,"no"
"no",0.245799999237061,"no"
"no",0.382099990844727,"no"
"no",0.32,"no"
"no",0.286000003814697,"yes"
"no",0.266000003814697,"no"
"no",0.315,"yes"
"no",0.304699993133545,"yes"
"no",0.337999992370605,"no"
"no",0.365999984741211,"no"
"no",0.370999984741211,"yes"
"no",0.380999984741211,"no"
"no",0.35,"yes"
"no",0.34,"yes"
"no",0.265200004577637,"no"
"no",0.35,"no"
"yes",0.39,"yes"
"yes",0.39,"no"
"no",0.3,"no"
"no",0.29,"no"
"no",0.35,"no"
"no",0.39,"no"
"no",0.36,"yes"
"no",0.26,"no"
"no",0.36,"no"
"no",0.27,"no"
"no",0.357000007629395,"no"
"no",0.3,"yes"
"no",0.39,"yes"
"no",0.31,"no"
"yes",0.43,"no"
"yes",0.4,"yes"
"no",0.34,"yes"
"yes",0.405999984741211,"no"
"yes",0.23,"no"
"yes",0.73,"no"
"no",0.38,"yes"
"no",0.382999992370605,"yes"
"no",0.32,"no"
"no",0.292999992370605,"no"
"no",0.240300006866455,"no"
"no",0.193999996185303,"no"
"no",0.293999996185303,"yes"
"no",0.382000007629395,"yes"
"no",0.379799995422363,"yes"
"no",0.335900001525879,"yes"
"no",0.390299987792969,"yes"
"no",0.392799987792969,"yes"
"no",0.28,"no"
"no",0.31,"no"
"no",0.384099998474121,"no"
"no",0.334000015258789,"yes"
"no",0.29,"yes"
"no",0.330900001525879,"no"
"no",0.33689998626709,"yes"
"no",0.342299995422363,"no"
"yes",0.302700004577637,"yes"
"no",0.319099998474121,"no"
"no",0.246299991607666,"no"
"no",0.286000003814697,"no"
"no",0.27,"no"
"no",0.282000007629395,"no"
"no",0.32439998626709,"no"
"no",0.347999992370605,"no"
"no",0.296000003814697,"no"
"no",0.319799995422363,"no"
"no",0.400099983215332,"no"
"no",0.276299991607666,"no"
"no",0.352400016784668,"no"
"no",0.123800001144409,"no"
"no",0.34,"no"
"no",0.211599998474121,"no"
"no",0.282600002288818,"no"
"no",0.288999996185303,"no"
"no",0.3,"no"
"no",0.36,"no"
"no",0.32,"no"
"yes",0.32,"no"
"no",0.26,"no"
"no",0.26,"no"
"yes",0.32,"no"
"no",0.42,"yes"
"no",0.34,"no"
"no",0.37,"no"
"no",0.29,"no"
"no",0.35,"no"
"no",0.4,"no"
"no",0.36,"no"
"no",0.38,"no"
"no",0.37,"no"
"no",0.41,"no"
"no",0.32,"no"
"no",0.33,"no"
"no",0.33,"no"
"no",0.29,"no"
"no",0.37,"no"
"no",0.36,"no"
"no",0.37,"no"
"no",0.3,"no"
"no",0.34,"no"
"no",0.42,"no"
"no",0.2,"no"
"no",0.3,"no"
"no",0.38,"no"
"no",0.34,"no"
"no",0.29,"no"
"no",0.32,"no"
"no",0.36,"no"
"no",0.41,"no"
"no",0.32,"no"
"no",0.38,"yes"
"no",0.2,"no"
"no",0.28,"no"
"no",0.25,"no"
"no",0.29,"no"
"yes",0.49,"no"
"no",0.33,"no"
"no",0.45,"no"
"yes",0.41,"no"
"no",0.35,"no"
"no",0.35,"no"
"no",0.08,"no"
"no",0.25,"no"
"no",0.48,"no"
"no",0.36,"no"
"no",0.32,"no"
"no",0.27,"no"
"no",0.34,"no"
"no",0.33,"no"
"no",0.28,"no"
"no",0.34,"no"
"no",0.37,"no"
"no",0.3,"no"
"no",0.36,"no"
"no",0.355099983215332,"no"
"no",0.25,"no"
"no",0.14,"no"
"no",0.44,"no"
"no",0.45,"no"
"no",0.37,"no"
"no",0.34,"no"
"no",0.270400009155273,"no"
"no",0.23,"no"
"no",0.34,"no"
"no",0.33,"no"
"no",0.375,"no"
"no",0.335699996948242,"no"
"no",0.277900009155273,"no"
"no",0.41,"no"
"no",0.362900009155273,"no"
"no",0.308799991607666,"no"
"no",0.365999984741211,"no"
"no",0.314899997711182,"no"
"no",0.275200004577637,"no"
"no",0.35,"no"
"no",0.332700004577637,"no"
"no",0.32,"no"
"yes",0.264200000762939,"no"
"yes",0.339700012207031,"no"
"yes",0.339700012207031,"no"
"no",0.36060001373291,"no"
"no",0.376800003051758,"no"
"no",0.301000003814697,"yes"
"no",0.54,"no"
"no",0.350999984741211,"no"
"no",0.389000015258789,"no"
"yes",0.43,"no"
"yes",0.43,"no"
"no",0.15,"no"
"no",0.34,"no"
"no",0.31,"no"
"no",0.37,"no"
"no",0.31,"no"
"no",0.3,"no"
"no",0.16,"no"
"no",0.36,"no"
"no",0.36,"no"
"no",0.4,"no"
"no",0.37,"no"
"no",0.28,"no"
"no",0.43,"no"
"no",0.36,"no"
"no",0.24,"no"
"no",0.47,"no"
"no",0.08,"yes"
"no",0.24,"no"
"no",0.22,"no"
"no",0.14,"no"
"no",0.21,"no"
"no",0,"no"
"yes",0.210200004577637,"no"
"no",0.394500007629395,"no"
"no",0.3,"no"
"no",0.36,"no"
"no",0.28,"no"
"no",0.26,"no"
"no",0.28,"no"
"no",0.304400005340576,"no"
"no",0.313600006103516,"no"
"no",0.302299995422363,"no"
"no",0.199500007629395,"no"
"no",0.274500007629395,"no"
"yes",0.317999992370605,"no"
"no",0.45,"no"
"no",0.35689998626709,"no"
"no",0.253999996185303,"no"
"no",0.240599994659424,"no"
"no",0.28,"no"
"yes",0.416800003051758,"no"
"yes",0.388600006103516,"no"
"yes",0.340800018310547,"no"
"no",0.27,"no"
"yes",0.35,"no"
"no",0.35,"no"
"no",0.32,"no"
"yes",0.32,"no"
"no",0.37,"no"
"no",0.35,"yes"
"no",0.44,"yes"
"no",0.4,"yes"
"no",0.29,"yes"
"no",0.41,"yes"
"no",0.25,"yes"
"no",0.4,"no"
"no",0.43,"yes"
"no",0.41,"yes"
"no",0.49,"no"
"no",0.41,"no"
"no",0.26,"no"
"yes",0.367000007629395,"no"
"no",0.39,"no"
"no",0.37,"no"
"no",0.33,"no"
"no",0.28,"no"
"no",0.36,"no"
"no",0.35,"no"
"no",0.32,"no"
"no",0.38,"no"
"no",0.35,"no"
"no",0.36,"no"
"no",0.25,"no"
"no",0.47,"yes"
"yes",0.18,"no"
"no",0.29,"no"
"no",0.25,"no"
"no",0.26,"no"
"no",0.29,"no"
"no",0.29,"no"
"no",0.27,"no"
"no",0.29,"no"
"yes",0.21,"yes"
"no",0.95,"no"
"no",0.25,"no"
"no",0.22,"no"
"no",0.37,"no"
"no",0.4,"no"
"no",0.29,"no"
"yes",0.36,"no"
"no",0.32,"no"
"no",0.38,"no"
"yes",0.37,"no"
"no",0.4,"no"
"no",0.24,"no"
"no",0.37,"no"
"no",0.35,"no"
"no",0.41,"no"
"no",0.41,"no"
"no",0.32,"yes"
"no",0.34,"no"
"no",0.39,"no"
"no",0.238999996185303,"no"
"no",0.330999984741211,"no"
"no",0.355,"no"
"no",0.408899993896484,"no"
"no",0.165,"no"
"no",0.307000007629395,"no"
"no",0.235,"no"
"no",0.312999992370605,"no"
"no",0.266000003814697,"no"
"no",0.231000003814697,"no"
"no",0.303999996185303,"no"
"no",0.347000007629395,"no"
"no",0.350999984741211,"no"
"no",0.320999984741211,"no"
"no",0.380999984741211,"no"
"yes",0.472000007629395,"no"
"yes",0.425,"yes"
"no",0.318999996185303,"no"
"no",0.0698999977111816,"no"
"no",0.340999984741211,"no"
"no",0.349000015258789,"no"
"no",0.337999992370605,"no"
"no",0.395999984741211,"yes"
"no",0.39,"no"
"no",0.275,"no"
"no",0.310499992370605,"no"
"no",0.467999992370605,"no"
"no",0.388600006103516,"yes"
"no",0.242000007629395,"no"
"no",0.691999969482422,"no"
"yes",0.575999984741211,"yes"
"no",0.354099998474121,"no"
"yes",0.479000015258789,"yes"
"no",0.355999984741211,"no"
"yes",0.362999992370605,"yes"
"no",0.263999996185303,"yes"
"no",0.172999992370605,"no"
"no",0.365,"no"
"no",0.405,"no"
"no",0.252000007629395,"no"
"no",0.247999992370605,"yes"
"no",0.390999984741211,"no"
"no",0.282999992370605,"no"
"no",0.303999996185303,"no"
"no",0.0559999990463257,"yes"
"no",0.384000015258789,"no"
"yes",0.584000015258789,"no"
"no",0.262999992370605,"no"
"no",0.252700004577637,"no"
"no",0.316000003814697,"no"
"no",0.357999992370605,"no"
"no",0.369000015258789,"no"
"no",0.222000007629395,"no"
"no",0.252999992370605,"no"
"no",0.183999996185303,"no"
"no",0.4,"no"
"no",0.34,"no"
"yes",0.303700008392334,"no"
"no",0.41,"no"
"yes",0.18,"no"
"no",0.4,"no"
"no",0.31,"no"
"no",0.53,"no"
"no",0.325800018310547,"no"
"no",0.392400016784668,"no"
"no",0.225100002288818,"no"
"no",0.381699981689453,"no"
"no",0.3375,"yes"
"no",0.16,"no"
"yes",0.3,"yes"
"no",0.1,"no"
"no",0.2,"no"
"no",0.08,"no"
"no",0.1,"no"
"no",0.17,"yes"
"no",0.29,"no"
"no",0.37,"no"
"no",0.36,"no"
"no",0.25,"no"
"yes",0.36,"no"
"no",0.39,"no"
"no",0.38,"no"
"no",0.4,"no"
"no",0.36,"no"
"no",0.38,"no"
"no",0.33,"no"
"no",0.37,"no"
"no",0.22,"yes"
"no",0.3,"no"
"no",0.36,"no"
"no",0.41,"no"
"no",0.35,"no"
"no",0.32,"no"
"yes",0.41,"yes"
"no",0.32,"no"
"no",0.4,"no"
"yes",0.33,"yes"
"no",0.28,"no"
"no",0.35,"no"
"yes",0.4,"yes"
"yes",0.3,"yes"
"no",0.35,"no"
"no",0.2,"no"
"no",0.29,"no"
"no",0.36,"no"
"no",0.34,"no"
"no",0.26,"no"
"no",0.28,"no"
"no",0.43,"no"
"no",0.27,"no"
"no",0.28,"no"
"no",0.27,"no"
"no",0.36,"no"
"no",0.35,"no"
"no",0.33,"no"
"no",0.32,"no"
"no",0.23,"no"
"no",0.37,"no"
"no",0.331199989318848,"no"
"yes",0.351300010681152,"no"
"no",0.457000007629395,"no"
"no",0.352400016784668,"no"
"yes",0.41689998626709,"no"
"no",0.219099998474121,"no"
"yes",0.205200004577637,"no"
"no",0.461100006103516,"no"
"no",0.346599998474121,"no"
"no",0.316700000762939,"no"
"no",0.372799987792969,"no"
"no",0.660999984741211,"no"
"no",0.356199989318848,"no"
"no",0.374500007629395,"yes"
"yes",0.313999996185303,"no"
"yes",0.383899993896484,"no"
"no",0.361399993896484,"no"
"no",0.266399993896484,"no"
"no",0.322099990844727,"no"
"no",0.231100006103516,"yes"
"no",0.364500007629395,"no"
"no",0.426599998474121,"no"
"no",0.289799995422363,"no"
"no",0.814199981689453,"yes"
"no",0.371399993896484,"yes"
"no",0.296399993896484,"no"
"no",0.353499984741211,"yes"
"no",0.3475,"yes"
"no",0.499700012207031,"yes"
"no",0.374300003051758,"no"
"no",0.467700004577637,"yes"
"yes",0.104300003051758,"no"
"no",0.322799987792969,"no"
"no",0.293199996948242,"no"
"no",0.33560001373291,"no"
"yes",0.416699981689453,"yes"
"no",0.2575,"no"
"no",0.357700004577637,"no"
"yes",0.466800003051758,"no"
"no",0.216000003814697,"yes"
"no",0.277000007629395,"no"
"no",0.27,"no"
"no",0.32,"no"
"no",0.25,"no"
"yes",0.505,"no"
"no",0.32,"yes"
"yes",0.355,"yes"
"no",0.31,"no"
"no",0.3,"no"
"no",0.19,"no"
"no",0.18,"yes"
"no",0.08,"no"
"no",0.36,"no"
"no",0.14,"no"
"no",0.34,"no"
"no",0.34,"no"
"no",0.32,"yes"
"no",0.19,"no"
"no",0.32,"no"
"no",0.73,"no"
"no",0.58,"yes"
"no",0.3,"no"
"no",0.14,"no"
"no",0.26,"no"
"no",0.43,"no"
"no",0.47,"no"
"no",0.25,"yes"
"no",0.3,"no"
"no",0.27,"no"
"no",0.36,"no"
"no",0.248999996185303,"no"
"no",0.216000003814697,"no"
"yes",1.16,"no"
"no",0.36,"no"
"no",0.277999992370605,"no"
"no",0.32,"no"
"no",0.287999992370605,"no"
"no",0.482999992370605,"no"
"no",0.312000007629395,"no"
"no",0.297000007629395,"no"
"no",0.344000015258789,"no"
"no",0.362000007629395,"no"
"no",0.285,"no"
"no",0.322999992370605,"no"
"no",0.404000015258789,"no"
"no",0.316000003814697,"yes"
"no",0.287999992370605,"no"
"no",0.357999992370605,"no"
"no",0.29,"no"
"no",0.35,"no"
"no",0.34,"no"
"no",0.36,"no"
"yes",0.27,"no"
"yes",0.45,"yes"
"no",0.32,"no"
"no",0.33,"no"
"no",0.46,"no"
"no",0.35,"no"
"no",0.35,"no"
"no",0.39,"no"
"no",0.46,"no"
"no",0.38,"no"
"no",0.27,"no"
"no",0.38,"no"
"no",0.22,"no"
"no",0.38,"no"
"no",0.37,"no"
"no",0.37,"no"
"no",0.28,"no"
"no",0.25,"no"
"no",0.26,"no"
"no",0.27,"no"
"no",0.38,"no"
"no",0.35,"no"
"no",0.25,"no"
"no",0.38,"no"
"no",0.37,"no"
"no",0.27,"no"
"no",0.24,"no"
"no",0.36,"no"
"no",0.23,"no"
"no",0.33,"no"
"no",0.28,"no"
"no",0.33,"no"
"yes",0.37,"no"
"no",0.32,"no"
"no",0.27,"no"
"no",0.28,"no"
"no",0.39,"no"
"no",0.38,"no"
"no",0.38,"no"
"yes",0.38,"no"
"yes",0.3,"yes"
"no",0.39,"yes"
"no",0.34,"no"
"no",0.19,"no"
"no",0.34,"no"
"no",0.33,"no"
"no",0.31,"no"
"no",0.29,"yes"
"no",0.2,"no"
"no",0.45,"no"
"no",0.32,"no"
"no",0.2,"no"
"no",0.27,"no"
"no",0.13,"no"
"no",0.15,"no"
"no",0.1,"no"
"no",0.38,"no"
"no",0.22,"no"
"no",0.22,"no"
"no",0.13,"no"
"no",0.07,"no"
"yes",0.36,"no"
"yes",0.36,"no"
"no",0.246499996185303,"no"
"no",0.218999996185303,"no"
"yes",0.312999992370605,"no"
"no",0.377000007629395,"no"
"no",0.121000003814697,"no"
"no",0.318999996185303,"no"
"no",0.357000007629395,"no"
"no",0.377999992370605,"no"
"no",0.292999992370605,"no"
"no",0.380999984741211,"no"
"no",0.232999992370605,"no"
"no",0.287000007629395,"no"
"no",0.245,"no"
"no",0.295,"no"
"no",0.392999992370605,"no"
"no",0.33,"no"
"no",0.297999992370605,"no"
"no",0.402999992370605,"no"
"no",0.385999984741211,"no"
"yes",0.382000007629395,"yes"
"no",0.352000007629395,"no"
"no",0.306000003814697,"no"
"no",0.400099983215332,"no"
"no",0.27,"no"
"no",0.385,"no"
"no",0.212000007629395,"no"
"no",0.175,"no"
"no",0.299599990844727,"no"
"no",0.257999992370605,"no"
"no",0.266000003814697,"no"
"no",0.242999992370605,"no"
"no",0.155,"no"
"no",0.3,"no"
"no",0.399000015258789,"no"
"no",0.247399997711182,"no"
"no",0.395,"yes"
"no",0.36,"no"
"yes",0.43,"no"
"no",0.39,"no"
"no",0.33,"no"
"no",0.35,"no"
"no",0.33,"no"
"no",0.43,"no"
"no",0.29,"no"
"no",0.28,"no"
"no",0.4,"no"
"no",0.37,"no"
"no",0.33,"no"
"no",0.28,"no"
"no",0.36,"no"
"no",0.45,"no"
"no",0.3,"no"
"no",0.38,"no"
"no",0.29,"no"
"no",0.33,"no"
"no",0.21,"no"
"no",0.31,"yes"
"no",0.19,"yes"
"no",0.36,"yes"
"no",0.35,"yes"
"no",0.37,"yes"
"no",0.34,"no"
"no",0.33,"no"
"no",0.31,"no"
"no",0.345800018310547,"no"
"no",0.42,"yes"
"no",0.38,"yes"
"no",0.35,"yes"
"no",0.33,"no"
"no",0.24,"yes"
"no",0.280900001525879,"yes"
"no",0.32,"no"
"no",0.16,"yes"
"no",0.25,"yes"
"no",0.35,"no"
"no",0.38,"yes"
"no",0.32,"yes"
"no",0.35,"yes"
"no",0.27,"yes"
"no",0.25,"yes"
"no",0.29,"yes"
"no",0.271200008392334,"yes"
"no",0.32,"yes"
"no",0.31,"yes"
"no",0.37,"yes"
"no",0.58,"yes"
"no",0.33,"yes"
"no",0.16,"yes"
"no",0.38,"yes"
"no",0.34,"yes"
"yes",0.39,"yes"
"yes",0.45,"yes"
"yes",0.51,"yes"
"yes",0.43,"yes"
"yes",0.31,"yes"
"yes",0.46,"yes"
"yes",0.24,"yes"
"no",0.22,"yes"
"yes",0.22,"yes"
"yes",0.18,"yes"
"yes",0.66,"no"
"yes",0.59,"yes"
"yes",0.35,"yes"
"yes",0.52,"yes"
"yes",0.42,"yes"
"yes",0.41,"yes"
"yes",0.49,"yes"
"yes",0.46,"yes"
"yes",0.25,"yes"
"yes",0.39,"yes"
"yes",0.41,"no"
"yes",0.26,"yes"
"yes",0.36,"yes"
"yes",0.39,"yes"
"yes",0.36,"yes"
"yes",0.252999992370605,"yes"
"yes",0.83,"yes"
"yes",0.34,"yes"
"no",0.26,"no"
"yes",0.28,"no"
"yes",0.34,"no"
"no",0.37,"no"
"yes",0.23,"no"
"no",0.31,"no"
"no",0.36,"no"
"no",0.41,"no"
"no",0.31,"no"
"no",0.44,"no"
"no",0.37,"no"
"no",0.39,"no"
"no",0.38,"no"
"no",0.45,"no"
"no",0.34,"no"
"no",0.34,"no"
"no",0.36,"no"
"yes",0.54,"no"
"no",0.35,"no"
"no",0.33,"no"
"no",0.35,"no"
"no",0.31,"no"
"yes",0.25,"no"
"no",0.37,"no"
"no",0.27,"no"
"no",0.27,"no"
"no",0.36,"no"
"no",0.21,"no"
"no",0.3,"no"
"no",0.34,"no"
"no",0.29,"no"
"no",0.4,"no"
"no",0.3,"no"
"no",0.26,"no"
"no",0.28,"no"
"no",0.39,"no"
"no",0.22,"no"
"no",0.281000003814697,"no"
"no",0.35,"no"
"no",0.362000007629395,"no"
"no",0.344799995422363,"no"
"no",0.364000015258789,"no"
"no",0.176000003814697,"no"
"no",0.374000015258789,"no"
"no",0.359000015258789,"no"
"no",0.283999996185303,"no"
"no",0.336100006103516,"no"
"no",0.255,"yes"
"no",0.311100006103516,"no"
"no",0.325999984741211,"no"
"no",0.32810001373291,"no"
"no",0.38,"no"
"no",0.322000007629395,"no"
"yes",0.316000003814697,"no"
"no",0.225,"no"
"no",0.223600006103516,"no"
"no",0.222999992370605,"no"
"no",0.168999996185303,"no"
"no",0.422000007629395,"no"
"no",0.326199989318848,"no"
"no",0.318999996185303,"no"
"no",0.44,"no"
"no",0.382000007629395,"yes"
"no",0.303999996185303,"no"
"no",0.34,"no"
"no",0.322000007629395,"no"
"no",0.379000015258789,"no"
"no",0.65,"no"
"no",0.318999996185303,"no"
"no",0.4075,"no"
"no",0.359199981689453,"no"
"no",0.195599994659424,"no"
"no",0.296000003814697,"no"
"no",0.357000007629395,"no"
"no",0.362000007629395,"no"
"no",0.306000003814697,"no"
"no",0.275,"no"
"no",0.307399997711182,"no"
"no",0.324000015258789,"no"
"no",0.227999992370605,"no"
"no",0.374900016784668,"yes"
"no",0.402999992370605,"no"
"no",0.454000015258789,"no"
"no",0.277999992370605,"no"
"no",0.287299995422363,"no"
"no",0.266000003814697,"no"
"no",0.334000015258789,"no"
"no",0.173999996185303,"no"
"no",0.332999992370605,"no"
"no",0.332999992370605,"no"
"no",0.382000007629395,"yes"
"no",0.163999996185303,"no"
"no",0.241000003814697,"no"
"no",0.297000007629395,"no"
"no",0.322999992370605,"no"
"no",0.29,"no"
"no",0.340999984741211,"no"
"no",0.414000015258789,"no"
"no",0.266000003814697,"no"
"no",0.259400005340576,"no"
"no",0.489900016784668,"no"
"no",0.266000003814697,"no"
"no",0.221000003814697,"no"
"no",0.403699989318848,"no"
"no",0.21,"no"
"no",0.303999996185303,"no"
"no",0.389000015258789,"yes"
"no",0.375,"no"
"no",0.322999992370605,"no"
"no",0.318999996185303,"no"
"no",0.302000007629395,"no"
"no",0.361399993896484,"no"
"no",0.3,"no"
"no",0.208999996185303,"no"
"no",0.400999984741211,"yes"
"no",0.33,"no"
"no",0.303999996185303,"no"
"no",0.146000003814697,"no"
"no",0.37,"no"
"no",0.24,"no"
"no",0.21,"no"
"no",0.26,"no"
"no",0.38,"yes"
"no",0.26,"no"
"no",0.18,"no"
"no",0.24,"no"
"no",0.28,"no"
"no",0.25,"no"
"no",0.45,"no"
"no",0.3,"no"
"no",0.34,"no"
"no",0.3,"no"
"no",0.28,"no"
"no",0.38,"no"
"yes",0.34,"no"
"no",0.35,"no"
"no",0.33,"no"
"no",0.32,"no"
"no",0.22,"no"
"no",0.3,"no"
"no",0.26,"no"
"no",0.34,"no"
"no",0.28,"no"
"no",0.33,"no"
"no",0.4,"no"
"no",0.26,"no"
"no",0.2,"no"
"no",0.34,"yes"
"no",0.33,"no"
"no",0.35,"no"
"no",0.36,"no"
"no",0.32,"no"
"no",0.32,"no"
"no",0.22,"no"
"no",0.28,"no"
"no",0.28,"no"
"no",0.31,"no"
"no",0.37,"no"
"no",0.32,"yes"
"no",0.39,"no"
"no",0.39,"no"
"no",0.18,"no"
"yes",0.38,"no"
"no",0.38,"no"
"no",0.26,"no"
"no",0.36,"no"
"no",0.27,"no"
"no",0.24,"no"
"no",0.25,"no"
"no",0.28,"no"
"no",0.39,"no"
"no",0.38,"no"
"no",0.15,"no"
"no",0.23,"no"
"no",0.2,"no"
"no",0.32,"no"
"no",0.35,"no"
"no",0.46,"no"
"no",0.21,"no"
"no",0.31,"no"
"no",0.29,"no"
"no",0.31,"yes"
"no",0.33,"no"
"no",0.33,"no"
"no",0.43,"no"
"no",0.37,"no"
"no",0.34,"no"
"yes",0.43,"no"
"yes",0.36,"no"
"yes",0.78,"no"
"no",0.38,"no"
"no",0.37,"no"
"no",0.37,"no"
"no",0.42,"no"
"no",0.33,"no"
"no",0.41,"yes"
"no",0.38,"yes"
"no",0.33,"no"
"no",0.39,"no"
"yes",0.27,"yes"
"yes",0.63,"yes"
"yes",0.43,"no"
"no",0.33,"yes"
"yes",0.38,"yes"
"yes",0.37,"yes"
"yes",0.21,"yes"
"no",0.21,"yes"
"no",0.23,"yes"
"yes",0.57,"no"
"no",0.27,"no"
"no",0.33,"no"
"no",0.47,"no"
"no",0.32,"no"
"no",0.29,"no"
"no",0.47,"no"
"no",0.53,"no"
"no",0.31,"no"
"no",0.39,"no"
"no",0.36,"no"
"no",0.42,"no"
"no",0.36,"no"
"no",0.35,"no"
"no",0.26,"no"
"no",0.22,"no"
"no",0.14,"no"
"no",0.32,"no"
"no",0.28,"no"
"no",0.37,"yes"
"no",0.28,"no"
"no",0.29,"no"
"no",0.27,"yes"
"no",0.25,"no"
"no",0.26,"no"
"no",0.3,"no"
"yes",0.5,"no"
"no",0.38,"no"
"no",0.4,"no"
"no",0.34,"no"
"no",0.32,"no"
"no",0.26,"no"
"no",0.2,"no"
"no",0.29,"no"
"no",0.32,"no"
"yes",0.39,"yes"
"no",0.19,"no"
"no",0.37,"no"
"no",0.41,"no"
"yes",0.38,"no"
"no",0.33,"no"
"no",0.349000015258789,"no"
"no",0.384000015258789,"no"
"no",0.31,"no"
"no",0.27,"no"
"no",0.395999984741211,"no"
"no",0.26,"no"
"no",0.369000015258789,"no"
"yes",0.31,"no"
"no",0.352999992370605,"no"
"no",0.276000003814697,"no"
"no",0.31,"no"
"no",0.38,"no"
"no",0.37,"no"
"no",0.36,"no"
"no",0.35,"no"
"no",0.36,"no"
"no",0.395999984741211,"no"
"no",0.36,"no"
"no",0.36,"no"
"no",0.27,"no"
"no",0.31,"no"
"no",0.34,"no"
"no",0.29,"no"
"no",0.42,"no"
"yes",3,"no"
"no",0.33,"no"
"no",0.32,"no"
"yes",0.3,"no"
"no",0.29,"no"
"no",0.28,"no"
"no",0.37,"yes"
"no",0.37,"no"
"no",0.19,"no"
"no",0.36,"no"
"no",0.83,"no"
"no",0.29,"no"
"no",0.37,"yes"
"no",0.21,"no"
"no",0.21,"no"
"no",0.29,"no"
"no",0.21,"no"
"no",0.42,"no"
"no",0.22,"no"
"no",0.27,"no"
"no",0.43,"yes"
"yes",0.37,"no"
"no",0.29,"no"
"no",0.17,"no"
"no",0.34,"no"
"no",0.16,"no"
"no",0.13,"no"
"no",0.31,"no"
